Row,Column,Value
MAR,F1961,0.57
MAR,F1962,0.401
MAR,F1963,0.179
MAR,F1964,0.486
MAR,F1965,-0.286
MAR,F1966,0.433
MAR,F1967,-0.032
MAR,F1968,-0.151
MAR,F1969,0.03
MAR,F1970,0.108
MAR,F1971,-0.775
MAR,F1972,-1.303
MAR,F1973,0.062
MAR,F1974,-0.402
MAR,F1975,-0.221
MAR,F1976,-0.819
MAR,F1977,0.041
MAR,F1978,0.316
MAR,F1979,0.438
MAR,F1980,0.548
MAR,F1981,0.414
MAR,F1982,0.431
MAR,F1983,0.724
MAR,F1984,0.208
MAR,F1985,0.797
MAR,F1986,0.19
MAR,F1987,0.993
MAR,F1988,0.837
MAR,F1989,0.665
MAR,F1990,1.409
MAR,F1991,0.133
MAR,F1992,0.246
MAR,F1993,0.222
MAR,F1994,1.019
MAR,F1995,1.174
MAR,F1996,0.936
MAR,F1997,1.271
MAR,F1998,1.483
MAR,F1999,0.976
MAR,F2000,0.845
MAR,F2001,1.745
MAR,F2002,1.108
MAR,F2003,1.593
MAR,F2004,1.029
MAR,F2005,1.188
MAR,F2006,1.389
MAR,F2007,0.93
MAR,F2008,1.069
MAR,F2009,1.16
MAR,F2010,2.02
MAR,F2011,1.698
MAR,F2012,1.299
MAR,F2013,1.233
MAR,F2014,1.603
MAR,F2015,1.115
MAR,F2016,1.84
MAR,F2017,2.131
MAR,F2018,0.597
MAR,F2019,1.466
MAR,F2020,2.107
MAR,F2021,1.798
MAR,F2022,2.303
ABW,F1961,-0.1
ABW,F1962,0.138
ABW,F1963,0.084
ABW,F1964,0.271
ABW,F1965,-0.18
ABW,F1966,0.122
ABW,F1967,-0.258
ABW,F1968,0.055
ABW,F1969,0.476
ABW,F1970,0.354
ABW,F1971,-0.349
ABW,F1972,-0.02
ABW,F1973,0.149
ABW,F1974,-0.448
ABW,F1975,-0.253
ABW,F1976,-0.518
ABW,F1977,0.182
ABW,F1978,
ABW,F1979,
ABW,F1980,0.452
ABW,F1981,0.469
ABW,F1982,0.309
ABW,F1983,0.602
ABW,F1984,-0.02
ABW,F1985,-0.076
ABW,F1986,0.04
ABW,F1987,0.806
ABW,F1988,0.388
ABW,F1989,-0.066
ABW,F1990,0.279
ABW,F1991,0.331
ABW,F1992,
ABW,F1993,
ABW,F1994,0.528
ABW,F1995,0.802
ABW,F1996,
ABW,F1997,
ABW,F1998,
ABW,F1999,
ABW,F2000,
ABW,F2001,
ABW,F2002,
ABW,F2003,1.067
ABW,F2004,0.661
ABW,F2005,0.836
ABW,F2006,0.51
ABW,F2007,0.935
ABW,F2008,
ABW,F2009,
ABW,F2010,1.309
ABW,F2011,0.509
ABW,F2012,0.58
ABW,F2013,1.094
ABW,F2014,0.986
ABW,F2015,1.149
ABW,F2016,
ABW,F2017,1.303
ABW,F2018,0.698
ABW,F2019,1.007
ABW,F2020,1.281
ABW,F2021,
ABW,F2022,
AFG,F1961,-0.113
AFG,F1962,-0.164
AFG,F1963,0.847
AFG,F1964,-0.764
AFG,F1965,-0.244
AFG,F1966,0.226
AFG,F1967,-0.371
AFG,F1968,-0.423
AFG,F1969,-0.539
AFG,F1970,0.813
AFG,F1971,0.619
AFG,F1972,-1.124
AFG,F1973,0.232
AFG,F1974,-0.489
AFG,F1975,-0.445
AFG,F1976,-0.286
AFG,F1977,0.513
AFG,F1978,0.129
AFG,F1979,0.361
AFG,F1980,0.6
AFG,F1981,0.483
AFG,F1982,-0.346
AFG,F1983,0.164
AFG,F1984,0.145
AFG,F1985,0.283
AFG,F1986,-0.141
AFG,F1987,0.391
AFG,F1988,0.919
AFG,F1989,-0.205
AFG,F1990,0.73
AFG,F1991,-0.168
AFG,F1992,-0.294
AFG,F1993,0.22
AFG,F1994,0.43
AFG,F1995,0.359
AFG,F1996,-0.116
AFG,F1997,0.471
AFG,F1998,0.675
AFG,F1999,1.198
AFG,F2000,0.993
AFG,F2001,1.311
AFG,F2002,1.365
AFG,F2003,0.587
AFG,F2004,1.373
AFG,F2005,0.401
AFG,F2006,1.72
AFG,F2007,0.675
AFG,F2008,0.704
AFG,F2009,0.895
AFG,F2010,1.613
AFG,F2011,1.397
AFG,F2012,0.223
AFG,F2013,1.281
AFG,F2014,0.456
AFG,F2015,1.093
AFG,F2016,1.555
AFG,F2017,1.54
AFG,F2018,1.544
AFG,F2019,0.91
AFG,F2020,0.498
AFG,F2021,1.327
AFG,F2022,2.012
AGO,F1961,0.041
AGO,F1962,-0.152
AGO,F1963,-0.19
AGO,F1964,-0.229
AGO,F1965,-0.196
AGO,F1966,0.175
AGO,F1967,-0.081
AGO,F1968,-0.193
AGO,F1969,0.188
AGO,F1970,0.248
AGO,F1971,-0.097
AGO,F1972,-0.035
AGO,F1973,0.475
AGO,F1974,-0.158
AGO,F1975,-0.029
AGO,F1976,-0.313
AGO,F1977,0.272
AGO,F1978,0.037
AGO,F1979,0.291
AGO,F1980,0.279
AGO,F1981,-0.071
AGO,F1982,0.164
AGO,F1983,0.487
AGO,F1984,0.631
AGO,F1985,0.694
AGO,F1986,0.176
